src/App.jsx:415	[watchdog #351/#366] Lauf hängt vor dem nächsten Stich — self-heal RESOLVE_TRICK.
src/App.jsx:480	Pflanze
src/App.jsx:480	Eis
src/App.jsx:480	Feuer
src/App.jsx:480	Blitz
src/App.jsx:485	Genesis-Pack · Werkstatt · Upgrades
src/App.jsx:487	Neue Raritätsstufe
src/App.jsx:487	Freischaltung
src/App.jsx:489	Onboarding abgeschlossen — Genesis-Pack, Werkstatt & Upgrades frei
src/App.jsx:492	Freischaltung
src/App.jsx:523	), skills: (state.skills || []).join(
src/App.jsx:589	fx:hologridSlice
src/App.jsx:862	h-14 w-auto select-none block
src/App.jsx:1030	text-base font-bold
src/App.jsx:1030	Lauf pausieren oder beenden?
src/App.jsx:1036	Weiterspielen
src/App.jsx:1037	Beenden
src/App.jsx:1041	merkt sich den Lauf — du kannst ihn später im Menü fortsetzen.
src/App.jsx:1041	Beenden
src/App.jsx:1041	wertet ihn und zeigt den Endscreen.
src/App.jsx:1054	text-base font-bold
src/App.jsx:1054	Wirklich neustarten?
src/App.jsx:1057	Weiterspielen
src/App.jsx:1058	Neustarten
src/App.jsx:1060	Der aktuelle Lauf wird verworfen und ein neuer beginnt sofort. Das lässt sich nicht rückgängig machen.
src/ui/ArchPanels.jsx:13	≥2 gleiche Werte nebeneinander (×1,25 / ×1,50 / ×1,80, dann +0,40 je weitere)
src/ui/ArchPanels.jsx:14	≥3 Karten gleicher Farbe (ab ×1,35, +0,20 je weitere)
src/ui/ArchPanels.jsx:15	≥3 streng steigende Werte, Schritt ≤4 (ab ×1,35, +0,20 je weitere)
src/ui/ArchPanels.jsx:16	≥3 im Zick-Zack, Nachbardifferenz ≥4 (ab ×1,40, +0,20 je weitere)
src/ui/ArchPanels.jsx:17	eine einzelne Position zählt als Formation (Faktor je Quelle)
src/ui/ArchPanels.jsx:18	der Faktor einer endenden Formation wirkt auf die nächste Karte nach
src/ui/ArchPanels.jsx:19	dein gewählter Formationstyp bekommt einen Zusatzfaktor
src/ui/ArchPanels.jsx:20	eine Formation läuft über eine Segmentgrenze und zahlt zusätzlich ×1,25
src/ui/ArchPanels.jsx:25	onInspect(nextBid)
src/ui/ArchPanels.jsx:30	text-[11px] uppercase tracking-wide font-bold mb-0.5
src/ui/ArchPanels.jsx:31	Antippen zeigt am Brett, wo es liegt — und umgekehrt.
src/ui/ArchPanels.jsx:46	Legendär
src/ui/ArchPanels.jsx:72	● Rolle — Ziel eines Perks/einer Familie an dieser Karte
src/ui/ArchitectScreen.jsx:239	, distBids:Set
src/ui/ArchitectScreen.jsx:396	Gebäude
src/ui/ArchitectScreen.jsx:409	Gebäude
src/ui/ArchitectScreen.jsx:536	Kein Platz zum Drehen — zieh das Gebäude erst an eine freiere Stelle.
src/ui/ArchitectScreen.jsx:569	0 ? "#5ab87a" : scorePctDiff
src/ui/ArchitectScreen.jsx:570	0 ? "+" : scorePctDiff
src/ui/ArchitectScreen.jsx:583	text-xl font-bold mt-0.5
src/ui/ArchitectScreen.jsx:583	Der Architekt
src/ui/ArchitectScreen.jsx:585	ml-auto shrink-0
src/ui/ArchitectScreen.jsx:592	Score-Boost durch die Gebäude: Struktur-Kombis (volle Zeile/Spalte/Diagonale) + Distrikt (gleiche Kategorie aneinander) + neu gegründete Formationen. Aktualisiert live beim Bauen/Verschieben.
src/ui/ArchitectScreen.jsx:593	text-[10px] uppercase tracking-wide font-bold
src/ui/ArchitectScreen.jsx:593	Gebäude-Boost
src/ui/ArchitectScreen.jsx:594	font-pixel-dense leading-none
src/ui/ArchitectScreen.jsx:597	text-[10px] uppercase tracking-wide font-bold
src/ui/ArchitectScreen.jsx:597	Baufeld
src/ui/ArchitectScreen.jsx:598	font-pixel-dense leading-none
src/ui/ArchitectScreen.jsx:603	text-[10px] uppercase tracking-wide font-bold
src/ui/ArchitectScreen.jsx:603	Durchlauf-Score
src/ui/ArchitectScreen.jsx:604	font-pixel-dense leading-none
src/ui/ArchitectScreen.jsx:618	text-[11px] font-mono uppercase tracking-wide font-bold
src/ui/ArchitectScreen.jsx:618	🎨 Bufft Farbe
src/ui/ArchitectScreen.jsx:635	0 ? "#5fce86" : dragDelta.dBoost
src/ui/ArchitectScreen.jsx:636	0 ? "#155e3126" : dragDelta.dBoost
src/ui/ArchitectScreen.jsx:637	0 ? "#2f9d5566" : dragDelta.dBoost
src/ui/ArchitectScreen.jsx:638	Änderung des Gebäude-Boosts an dieser Vorschau-Position
src/ui/ArchitectScreen.jsx:639	0 ? "▲ +" : dragDelta.dBoost
src/ui/ArchitectScreen.jsx:645	Gebäude mit Struktur-/Distrikt-Bonus glühen in ihrer Typ-Farbe
src/ui/ArchitectScreen.jsx:648	Formationsrahmen (Ring + Label) am Brett ein-/ausblenden
src/ui/ArchitectScreen.jsx:747	2px dashed #d1462f
src/ui/ArchitectScreen.jsx:747	2px dashed #ffffffcc
src/ui/ArchitectScreen.jsx:761	arch-struct-flash rounded-md
src/ui/ArchitectScreen.jsx:794	legendär
src/ui/ArchitectScreen.jsx:820	Stufe (Ecke):
src/ui/ArchitectScreen.jsx:824	legendär
src/ui/ArchitectScreen.jsx:828	Wiederholung
src/ui/ArchitectScreen.jsx:828	Farbblock
src/ui/ArchitectScreen.jsx:828	Treppe
src/ui/ArchitectScreen.jsx:828	Wechsel
src/ui/ArchitectScreen.jsx:828	Anker
src/ui/ArchitectScreen.jsx:841	Struktur & Distrikt · ×Score je Durchlauf
src/ui/ArchitectScreen.jsx:843	Zeile
src/ui/ArchitectScreen.jsx:844	Spalte
src/ui/ArchitectScreen.jsx:845	Diagonale
src/ui/ArchitectScreen.jsx:846	Distrikt
src/ui/ArchitectScreen.jsx:848	Jede Karte auf einer vollständigen Zeile/Spalte/Diagonale macht bei einem Sieg entsprechend mehr
src/ui/ArchitectScreen.jsx:848	Score
src/ui/ArchitectScreen.jsx:848	. Faktoren stapeln multiplikativ.
src/ui/ArchitectScreen.jsx:849	Distrikt:
src/ui/ArchitectScreen.jsx:849	Gebäude
src/ui/ArchitectScreen.jsx:849	gleicher Farbe
src/ui/ArchitectScreen.jsx:860	Kein Platz
src/ui/ArchitectScreen.jsx:862	Markiere ein Gebäude zum Abriss (am Brett oder unten) — bei einem großen Bauplan evtl. mehrere. Abgerissen wird erst nach Bestätigen.
src/ui/ArchitectScreen.jsx:865	Abriss reicht noch nicht — markiere ein weiteres Gebäude.
src/ui/ArchitectScreen.jsx:881	Legendär
src/ui/ArchitectScreen.jsx:882	· markiert ✓
src/ui/ArchitectScreen.jsx:882	· reicht allein
src/ui/ArchitectScreen.jsx:889	Markierte Gebäude gehen beim Abriss verloren.
src/ui/ArchitectScreen.jsx:891	← Zurück
src/ui/ArchitectScreen.jsx:908	text-sm font-semibold mb-2
src/ui/ArchitectScreen.jsx:908	Was baust du diese Phase?
src/ui/ArchitectScreen.jsx:932	w-[9px] h-[9px] rounded-full inline-block shrink-0
src/ui/ArchitectScreen.jsx:935	Diese Form lässt sich nicht drehen (belegt eine ganze Segment-Zeile bzw. ist symmetrisch).
src/ui/ArchitectScreen.jsx:935	⟳ nicht drehbar
src/ui/ArchitectScreen.jsx:936	kein Platz → ersetzen
src/ui/ArchitectScreen.jsx:945	text-[13px] font-bold leading-tight
src/ui/ArchitectScreen.jsx:945	Aufwerten
src/ui/ArchitectScreen.jsx:952	w-full mt-2 rounded-lg py-2 text-xs font-bold transition-all hover:brightness-110
src/ui/ArchitectScreen.jsx:970	w-[9px] h-[9px] rounded-full inline-block
src/ui/ArchitectScreen.jsx:976	Jetzt:
src/ui/ArchitectScreen.jsx:979	Danach:
src/ui/ArchitectScreen.jsx:982	Unten bestätigen, dann wird aufgewertet.
src/ui/ArchitectScreen.jsx:987	Aufwerten
src/ui/ArchitectScreen.jsx:988	wähle unten ein Gebäude (oder tippe es am Brett an) — es wird gold markiert, du siehst aktuellen und nächsten Effekt und bestätigst unten. Nicht aufwertbare (Legendär/No-op-Effekt/max) sind ausgegraut.
src/ui/ArchitectScreen.jsx:1006	w-[8px] h-[8px] rounded-full inline-block
src/ui/ArchitectScreen.jsx:1035	Platzieren & Verschieben
src/ui/ArchitectScreen.jsx:1036	zieh Gebäude am Brett an ihren Platz (Griff überall,
src/ui/ArchitectScreen.jsx:1036	⟳ Drehen
src/ui/ArchitectScreen.jsx:1036	oben) — beliebig oft. Unten
src/ui/ArchitectScreen.jsx:1036	Bestätigen
src/ui/ArchitectScreen.jsx:1036	startet den Durchlauf.
src/ui/ArchitectScreen.jsx:1045	order-1 sticky top-0 z-20 md:static rounded-xl p-2 -mt-2 md:mt-0
src/ui/ArchitectScreen.jsx:1049	w-full mb-2 rounded-lg py-2 text-sm font-bold
src/ui/ArchitectScreen.jsx:1049	⟳ Drehen
src/ui/ArchitectScreen.jsx:1052	Diese Form lässt sich nicht drehen (belegt eine ganze Segment-Zeile bzw. ist symmetrisch).
src/ui/ArchitectScreen.jsx:1053	w-full mb-2 rounded-lg py-2 text-sm font-bold cursor-not-allowed
src/ui/ArchitectScreen.jsx:1054	⟳ Nicht drehbar
src/ui/ArchitectScreen.jsx:1062	+ „Zurücksetzen
src/ui/ArchitectScreen.jsx:1068	↶ Rückgängig
src/ui/ArchitectScreen.jsx:1070	Zurücksetzen
